RSK,RSKF,VPM,TMK,UPM,TXK,TNK,TGK,evapo_p,evapo_r,soil_moist
0,0,183,24.4,6100,30.8,17.7,14.3,55.6153846153846,39.965034965035,76.6013986013986
0.1,4,195,25.1,6300,30,19.3,16.8,49.3706293706294,37,74.9020979020979
0,0,142,19.4,6400,23.8,14.3,11.5,51.1398601398601,35,72.6713286713287
34.1,4,150,20,6700,27,12.7,10.3,51,45.8041958041958,74.4965034965035
6.6,4,171,17.7,8500,22.4,15,15.3,25.3426573426573,24.979020979021,82.3566433566434
1.4,4,143,15.6,8100,18.9,13.5,12.8,31.986013986014,31.2727272727273,85.006993006993
2.3,4,139,14.8,8200,16.7,12.7,11.9,18.7692307692308,18.7062937062937,86.6713286713287
5.2,4,129,13.4,8400,16.2,12.3,11.8,20.5524475524476,20.1818181818182,87.0699300699301
3.8,4,126,15.6,7300,20.4,12.1,9.5,39.1748251748252,38.3216783216783,86.8111888111888
0.1,4,138,15.4,7800,17.9,12.2,10.6,26.8111888111888,23.7482517482517,85.2307692307692
1.4,4,142,18.7,6500,24.4,13.5,10.6,43.1888111888112,38.3776223776224,83.0629370629371
0,0,110,16.4,6000,21.3,11,8.6,40.1048951048951,32,81.2097902097902
0,0,132,18.7,6300,23.6,13.6,10.8,40.6853146853147,31.3566433566434,79.0769230769231
5.1,4,170,23.6,6100,31,14.5,12.6,62.7832167832168,55.1608391608392,77.3706293706294
12.5,4,204,20.3,8700,27,16.7,15.2,38.1888111888112,36.1678321678322,78.1188811188811
0,0,161,19.8,7200,24.5,16,14.8,44.3916083916084,34.5174825174825,75.9160839160839
5.2,4,158,15.8,8700,20.5,13.5,13.1,21.3216783216783,20.2377622377622,85.4195804195804
0,0,134,15.3,7800,19.3,12.3,9.7,26.7622377622378,22.5314685314685,84.7132867132867
0,0,135,17.8,6800,23.8,11.5,8.9,40.034965034965,32,82.1608391608392
2.7,4,146,21.2,6100,28,13.2,10.6,48.1328671328671,43,81.0769230769231
2,4,171,18.9,7900,23.7,15.2,14.8,37.3426573426573,35.1048951048951,81.1678321678322
0,0,164,19,7600,23.7,16,13.8,32.1398601398601,25.965034965035,79.6853146853147
0,0,163,21.8,6500,27.8,15.2,12.9,45.7832167832168,33,77.1748251748252
0,0,167,23.4,6000,28.7,16.9,14.7,46.5594405594406,32.048951048951,75.027972027972
2.2,4,190,24.8,6400,32.1,17.1,14.5,53.8811188811189,40.048951048951,73.8111888111888
1.3,4,216,22.1,8200,26.6,18.5,17.5,34,28.7622377622378,76.8671328671329
0,0,164,20.1,7100,24.3,16.6,14.1,40.5314685314685,31.020979020979,75.3636363636364
5.7,4,180,19.8,7800,24.7,16.2,14.3,27.5804195804196,25.020979020979,77.9370629370629
0.8,4,152,17.9,7600,22.6,13.6,10.7,33.3356643356643,26,76.3496503496503
3.1,4,152,19.4,6900,24.8,12.6,10.2,37.9230769230769,28,74.3566433566434
